run_label,sample_key,reasoner_answer,final_answer,gold_answer,regex_label,of_which_context_driven,llm_label,llm_reasoning,final_label,label_source
"KG w/o context (Qwen V, no patient context)",qa_6913,D,A,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"KG w/o context (Qwen V, no patient context)",qa_3443,B,D,D,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"KG w/o context (Qwen V, no patient context)",qa_2790,D,A,A,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"KG w/o context (Qwen V, no patient context)",qa_3387,C,B,B,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"KG w/o context (Qwen V, no patient context)",qa_5165,C,A,A,UNCLASSIFIED,False,LIKELY_LEAKAGE,"The decisive evidence rests on the validator's own biochemical knowledge about toxin mechanisms (glucosyltransferase vs ADP-ribosyltransferase activity) with no citation to a specific KG entity, relation, or patient-context annotation.",LIKELY_LEAKAGE,llm
"KG w/o context (Qwen V, no patient context)",qa_9542,B,D,D,LIKELY_LEAKAGE,False,,,LIKELY_LEAKAGE,regex
"KG w/o context (Qwen V, no patient context)",qa_8126,A,C,C,LIKELY_LEAKAGE,False,,,LIKELY_LEAKAGE,regex
"KG w/o context (Qwen V, no patient context)",qa_8040,C,B,B,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
"KG w/o context (Qwen V, no patient context)",huatuo_7560,C,D,D,LIKELY_LEAKAGE,False,,,LIKELY_LEAKAGE,regex
"KG w/o context (Qwen V, no patient context)",qa_7817,B,A,A,UNCLASSIFIED,False,LIKELY_LEAKAGE,"The evidence asserts that pseudosulcus is a 'classic and highly specific clinical sign of LPR' and that 'LPR is the primary etiology' based on clinical knowledge, with no citation to a specific KG edge, relation, or patient-context annotation.",LIKELY_LEAKAGE,llm
"KG w/o context (Qwen V, no patient context)",qa_4472,B,A,A,MIXED,False,,,MIXED,regex
"KG w/o context (Qwen V, no patient context)",qa_3960,A,B,B,LIKELY_KG_SUPPORTED,False,,,LIKELY_KG_SUPPORTED,regex
