sample_key,gold_answer,reasoner_correct_qwen_nopc,final_correct_qwen_nopc,final_answer_qwen_nopc,reasoner_correct_qwen_wpc,final_correct_qwen_wpc,final_answer_qwen_wpc
LastHumanity_125,D,0,0,A,0,0,A
LastHumanity_129,A,1,1,A,1,1,A
LastHumanity_132,B,0,0,E,0,0,E
LastHumanity_27,D,0,0,B,0,0,B
LastHumanity_48,B,0,0,C,0,0,C
MMLU_1000,B,1,1,B,1,1,B
MMLU_1004,B,1,1,B,1,1,B
MMLU_1005,D,1,1,D,1,1,D
MMLU_1013,A,1,1,A,1,1,A
MMLU_1015,D,1,1,D,1,1,D
MMLU_1016,A,1,1,A,1,1,A
MMLU_1026,D,1,1,D,1,1,D
MMLU_1030,D,1,1,D,1,1,D
MMLU_1031,A,1,1,A,1,1,A
MMLU_1032,D,0,0,B,0,0,A
MMLU_1039,D,1,1,D,1,1,D
MMLU_1041,A,1,1,A,1,1,A
MMLU_1044,C,1,1,C,1,1,C
MMLU_1046,D,1,1,D,1,1,D
MMLU_1047,D,0,1,D,0,1,D
MMLU_1049,D,1,1,D,1,1,D
MMLU_1071,D,1,1,D,1,1,D
MMLU_1074,D,1,1,D,1,1,D
MMLU_1077,D,1,1,D,1,1,D
MMLU_1083,C,1,1,C,1,1,C
MMLU_1085,B,0,0,C,0,0,C
MMLU_168,B,1,1,B,1,1,B
MMLU_357,A,1,1,A,1,1,A
MMLU_823,B,1,1,B,1,1,B
MMLU_824,C,1,1,C,1,1,C
MMLU_827,D,1,1,D,1,1,D
MMLU_835,D,1,1,D,1,1,D
MMLU_837,D,1,1,D,1,1,D
MMLU_840,B,1,1,B,1,1,B
MMLU_851,B,1,1,B,1,1,B
MMLU_852,D,1,1,D,1,1,D
MMLU_856,C,1,1,C,1,1,C
MMLU_867,D,0,0,A,0,0,A
MMLU_870,D,1,1,D,1,1,D
MMLU_874,D,1,1,D,1,1,D
MMLU_877,B,1,1,B,1,1,B
MMLU_891,D,1,1,D,1,1,D
MMLU_897,D,1,1,D,1,1,D
MMLU_909,B,1,1,B,1,1,B
MMLU_912,D,1,1,D,1,1,D
MMLU_913,A,1,1,A,1,1,A
MMLU_917,B,1,1,B,1,1,B
MMLU_918,A,1,1,A,1,1,A
MMLU_928,C,1,1,C,1,1,C
MMLU_929,D,1,1,D,1,1,D
MMLU_936,C,1,1,C,1,1,C
MMLU_937,C,1,1,C,1,1,C
MMLU_939,C,1,1,C,1,1,C
MMLU_945,A,1,1,A,1,1,A
MMLU_953,D,1,1,D,1,1,D
MMLU_955,D,1,1,D,1,1,D
MMLU_962,D,1,1,D,1,1,D
MMLU_967,D,1,1,D,1,1,D
MMLU_985,D,1,1,D,1,1,D
MMLU_987,B,1,1,B,1,1,B
MMLU_999,D,1,1,D,1,1,D
MedXpertQA_100,F,1,1,F,1,1,F
MedXpertQA_102,G,0,0,D,0,0,D
MedXpertQA_106,D,1,1,D,1,1,D
MedXpertQA_114,J,1,1,J,1,1,J
MedXpertQA_121,A,0,0,G,0,0,H
MedXpertQA_138,G,0,0,H,0,0,H
MedXpertQA_14,D,1,0,A,1,0,H
MedXpertQA_140,G,0,0,A,0,1,G
MedXpertQA_143,A,0,1,A,0,1,A
MedXpertQA_144,I,0,0,A,0,0,A
MedXpertQA_153,D,1,1,D,1,1,D
MedXpertQA_161,J,0,0,B,0,0,B
MedXpertQA_162,B,1,1,B,1,1,B
MedXpertQA_167,H,0,0,D,0,0,D
MedXpertQA_175,J,0,0,A,0,0,A
MedXpertQA_181,B,0,0,C,0,0,C
MedXpertQA_187,G,0,0,J,0,0,J
MedXpertQA_194,F,0,0,E,0,0,J
MedXpertQA_198,J,0,0,F,0,0,F
MedXpertQA_202,A,1,1,A,1,1,A
MedXpertQA_208,C,0,0,B,0,1,C
MedXpertQA_21,E,1,1,E,1,1,E
MedXpertQA_210,B,0,0,G,0,0,F
MedXpertQA_214,B,0,0,E,0,0,E
MedXpertQA_217,A,0,0,C,0,0,C
MedXpertQA_221,I,0,0,G,0,0,G
MedXpertQA_227,G,0,0,H,0,1,G
MedXpertQA_23,C,1,1,C,1,1,C
MedXpertQA_243,H,1,1,H,1,1,H
MedXpertQA_248,B,0,0,A,0,0,A
MedXpertQA_256,D,1,1,D,1,1,D
MedXpertQA_260,I,1,1,I,1,1,I
MedXpertQA_269,C,1,1,C,1,1,C
MedXpertQA_270,G,1,1,G,1,1,G
MedXpertQA_274,J,0,0,F,0,0,F
MedXpertQA_276,F,0,0,J,0,0,J
MedXpertQA_288,A,1,1,A,1,1,A
MedXpertQA_290,B,0,0,D,0,0,D
MedXpertQA_292,C,1,1,C,1,1,C
MedXpertQA_293,F,0,0,H,0,0,H
MedXpertQA_3,I,0,1,I,0,1,I
MedXpertQA_301,I,0,0,E,0,0,E
MedXpertQA_305,J,0,0,E,0,0,E
MedXpertQA_306,E,0,1,E,0,1,E
MedXpertQA_307,E,0,1,E,0,1,E
MedXpertQA_311,E,0,0,I,0,0,I
MedXpertQA_314,B,0,1,B,0,1,B
MedXpertQA_315,F,0,0,J,0,0,J
MedXpertQA_318,D,0,0,C,0,1,D
MedXpertQA_32,F,0,0,C,0,0,C
MedXpertQA_327,D,0,1,D,0,0,H
MedXpertQA_332,I,1,1,I,1,1,I
MedXpertQA_334,H,0,0,E,0,1,H
MedXpertQA_338,D,0,0,A,0,0,A
MedXpertQA_347,D,1,1,D,1,1,D
MedXpertQA_354,G,1,1,G,1,1,G
MedXpertQA_360,A,0,0,F,0,0,F
MedXpertQA_366,F,0,0,I,0,0,I
MedXpertQA_375,E,0,0,G,0,0,G
MedXpertQA_383,I,0,0,B,0,0,B
MedXpertQA_389,D,1,1,D,1,1,D
