sample_key,gold_answer,final_correct_qwen_nopc,final_correct_qwen_wpc
LastHumanity_125,D,0,0
LastHumanity_129,A,1,1
LastHumanity_132,B,0,0
LastHumanity_27,D,0,0
LastHumanity_48,B,0,0
MMLU_1000,B,1,1
MMLU_1004,B,1,1
MMLU_1005,D,1,1
MMLU_1013,A,1,1
MMLU_1015,D,1,1
MMLU_1016,A,1,1
MMLU_1026,D,1,1
MMLU_1030,D,1,1
MMLU_1031,A,1,1
MMLU_1032,D,0,0
MMLU_1039,D,1,1
MMLU_1041,A,1,1
MMLU_1044,C,1,1
MMLU_1046,D,1,1
MMLU_1049,D,1,1
MMLU_1071,D,1,1
MMLU_1074,D,1,1
MMLU_1077,D,1,1
MMLU_1083,C,1,1
MMLU_1085,B,0,0
MMLU_168,B,1,1
MMLU_357,A,1,1
MMLU_823,B,1,1
MMLU_824,C,1,1
MMLU_827,D,1,1
MMLU_835,D,1,1
MMLU_837,D,1,1
MMLU_840,B,1,1
MMLU_851,B,1,1
MMLU_852,D,1,1
MMLU_856,C,1,1
MMLU_867,D,0,0
MMLU_870,D,1,1
MMLU_874,D,1,1
MMLU_877,B,1,1
MMLU_891,D,1,1
MMLU_897,D,1,1
MMLU_909,B,1,1
MMLU_912,D,1,1
MMLU_913,A,1,1
MMLU_917,B,1,1
MMLU_918,A,1,1
MMLU_928,C,1,1
MMLU_929,D,1,1
MMLU_936,C,1,1
MMLU_937,C,1,1
MMLU_939,C,1,1
MMLU_945,A,1,1
MMLU_953,D,1,1
MMLU_955,D,1,1
MMLU_962,D,1,1
MMLU_967,D,1,1
MMLU_985,D,1,1
MMLU_987,B,1,1
MMLU_999,D,1,1
MedXpertQA_100,F,1,1
MedXpertQA_102,G,0,0
MedXpertQA_106,D,1,1
MedXpertQA_114,J,1,1
MedXpertQA_121,A,0,0
MedXpertQA_138,G,0,0
MedXpertQA_14,D,0,0
MedXpertQA_140,G,0,1
MedXpertQA_143,A,1,1
MedXpertQA_144,I,0,0
MedXpertQA_153,D,1,1
MedXpertQA_161,J,0,0
MedXpertQA_162,B,1,1
MedXpertQA_167,H,0,0
MedXpertQA_175,J,0,0
MedXpertQA_181,B,0,0
MedXpertQA_187,G,0,0
MedXpertQA_194,F,0,0
