run_label,sample_key,reasoner_answer,final_answer,gold_answer,case_label,of_which_context_driven
"KG w/o context (Qwen V, no patient context)",qa_6913,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_3443,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2790,D,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_3387,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_5165,C,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_9542,B,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_8126,A,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_8040,C,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",huatuo_7560,C,D,D,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_7817,B,A,A,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_4472,B,A,A,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_3960,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7053,C,D,D,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_8801,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_2227,A,C,C,MIXED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_704,F,G,G,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_2095,B,D,D,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",huatuo_1715,C,E,E,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_6609,B,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_7276,A,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_7541,C,B,B,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_8901,A,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",medqa_960,D,C,C,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",qa_1267,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_6592,C,D,D,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_649,C,I,I,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_6324,C,A,A,LIKELY_LEAKAGE,False
"KG w/o context (Qwen V, no patient context)",medqa_5586,A,C,C,MIXED,False
"KG w/o context (Qwen V, no patient context)",qa_6340,C,A,A,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",qa_8476,A,B,B,LIKELY_KG_SUPPORTED,False
"KG w/o context (Qwen V, no patient context)",MedXpertQA_555,E,I,I,UNCLASSIFIED,False
"KG w/o context (Qwen V, no patient context)",qa_2632,A,B,B,MIXED,False
