sample_key,gold_answer,reasoner_answer,final_answer,reasoner_correct,final_correct
qa_4919,B,B,B,1,1
qa_2149,A,A,A,1,1
qa_7963,A,D,D,0,0
qa_2939,C,C,C,1,1
qa_9016,D,D,D,1,1
qa_9514,B,B,B,1,1
qa_3136,B,B,B,1,1
huatuo_7316,A,A,A,1,1
qa_1951,A,C,A,0,1
qa_4758,D,D,D,1,1
MedXpertQA_392,I,F,F,0,0
medqa_6546,A,A,A,1,1
qa_1852,C,C,C,1,1
qa_3704,A,A,A,1,1
qa_3723,D,D,D,1,1
huatuo_7845,B,B,B,1,1
qa_2651,C,A,A,0,0
medqa_5471,D,C,C,0,0
qa_8533,B,B,B,1,1
qa_2049,C,C,C,1,1
medqa_6954,C,D,C,0,1
MedXpertQA_598,J,F,F,0,0
MedXpertQA_887,H,D,D,0,0
qa_3618,A,A,A,1,1
medqa_4418,D,B,B,0,0
qa_7975,D,D,D,1,1
qa_9405,C,C,C,1,1
medqa_159,A,A,A,1,1
huatuo_7306,C,C,C,1,1
qa_3427,B,B,B,1,1
medqa_5243,A,B,B,0,0
medqa_54,D,D,D,1,1
qa_1938,A,A,A,1,1
qa_2690,B,B,B,1,1
qa_7942,D,B,B,0,0
medqa_4210,D,C,C,0,0
medqa_6729,D,D,D,1,1
huatuo_8489,B,B,B,1,1
medqa_7492,D,D,D,1,1
medqa_7483,A,A,A,1,1
qa_2918,B,A,A,0,0
MedXpertQA_587,F,F,F,1,1
qa_6099,A,A,A,1,1
medqa_618,A,A,A,1,1
qa_3911,C,B,B,0,0
qa_1262,B,B,B,1,1
qa_3456,D,C,C,0,0
qa_6122,A,A,A,1,1
qa_1444,C,C,C,1,1
MedXpertQA_411,B,B,B,1,1
qa_1044,C,C,C,1,1
qa_9644,A,A,A,1,1
medqa_516,B,B,B,1,1
medmcqa_3140,B,B,B,1,1
qa_8739,A,A,A,1,1
qa_2185,B,B,B,1,1
qa_1068,A,A,A,1,1
medqa_4604,B,B,B,1,1
qa_6282,B,B,B,1,1
medqa_4357,C,B,B,0,0
medmcqa_3550,A,A,A,1,1
qa_9487,A,A,A,1,1
qa_5324,C,C,C,1,1
huatuo_8993,B,B,B,1,1
pubmedqa_artificial_1486,A,A,A,1,1
qa_3524,C,C,C,1,1
qa_3387,B,C,C,0,0
qa_6879,C,C,C,1,1
huatuo_4479,E,B,B,0,0
qa_6276,D,D,D,1,1
qa_2484,B,B,B,1,1
MMLU_909,B,B,B,1,1
qa_2744,C,B,B,0,0
qa_8442,B,B,B,1,1
qa_9358,B,B,B,1,1
medqa_5014,A,A,A,1,1
qa_3201,A,B,B,0,0
qa_9436,C,C,A,1,0
medqa_181,A,A,A,1,1
qa_5362,B,C,C,0,0
qa_2005,E,B,B,0,0
qa_6375,B,B,B,1,1
medqa_6602,A,A,A,1,1
qa_5995,C,C,C,1,1
MedXpertQA_762,D,J,J,0,0
qa_2930,B,B,B,1,1
huatuo_1485,A,A,A,1,1
medqa_4084,A,A,A,1,1
qa_1578,A,A,A,1,1
medqa_7124,D,D,D,1,1
medqa_4378,C,C,C,1,1
qa_1277,D,D,D,1,1
qa_8639,A,B,B,0,0
pubmedqa_artificial_9359,A,A,A,1,1
qa_8281,C,C,C,1,1
pubmedqa_artificial_2013,A,A,A,1,1
qa_400,A,A,A,1,1
medqa_585,C,C,C,1,1
huatuo_8505,A,A,A,1,1
qa_8573,C,C,C,1,1
medqa_5021,C,C,C,1,1
qa_1170,D,D,D,1,1
qa_4560,A,A,A,1,1
medqa_4340,C,C,C,1,1
qa_2957,D,D,D,1,1
qa_9222,C,C,C,1,1
qa_7572,A,A,A,1,1
qa_9438,A,A,A,1,1
MMLU_918,A,A,A,1,1
qa_2639,C,C,C,1,1
medqa_4082,C,B,B,0,0
MedXpertQA_585,B,G,G,0,0
medqa_4181,C,A,A,0,0
medqa_4849,A,A,A,1,1
medqa_7418,A,A,A,1,1
qa_3934,A,A,A,1,1
qa_2826,A,A,A,1,1
qa_6436,C,C,C,1,1
MedXpertQA_71,G,B,A,0,0
medqa_5275,B,B,B,1,1
qa_2277,E,A,A,0,0
qa_8851,B,B,B,1,1
LastHumanity_125,D,A,A,0,0
qa_6335,C,C,C,1,1
qa_57,A,B,B,0,0
qa_1658,C,C,C,1,1
MedXpertQA_338,D,A,A,0,0
medmcqa_1012,C,C,C,1,1
medqa_7572,A,A,A,1,1
qa_9319,A,A,A,1,1
medqa_5129,C,C,C,1,1
qa_2333,B,B,B,1,1
qa_5165,A,C,C,0,0
huatuo_7376,A,A,A,1,1
qa_8658,C,C,C,1,1
qa_6011,B,B,B,1,1
qa_6090,D,D,D,1,1
qa_1038,D,B,B,0,0
medqa_6673,D,D,D,1,1
qa_3296,D,D,D,1,1
qa_1155,B,B,B,1,1
qa_5571,A,A,A,1,1
MedXpertQA_314,B,A,A,0,0
medqa_4046,D,B,B,0,0
medqa_7274,B,B,B,1,1
MedXpertQA_260,I,I,I,1,1
medqa_6912,D,D,D,1,1
qa_2124,B,B,B,1,1
pubmedqa_artificial_7830,A,A,A,1,1
pubmedqa_artificial_9303,A,A,A,1,1
qa_8543,A,A,A,1,1
huatuo_1131,D,D,D,1,1
medqa_7103,B,B,B,1,1
qa_6193,B,B,B,1,1
qa_8486,C,C,C,1,1
qa_3548,B,A,A,0,0
pubmedqa_108,A,A,A,1,1
medqa_5664,A,C,A,0,1
medqa_7405,C,C,C,1,1
medqa_458,A,A,A,1,1
qa_2506,B,B,B,1,1
medqa_588,B,B,B,1,1
MMLU_1000,B,B,B,1,1
pubmedqa_artificial_7338,A,A,A,1,1
medqa_106,A,A,A,1,1
huatuo_9245,C,C,C,1,1
medqa_8,D,D,A,1,0
medqa_6920,B,C,C,0,0
qa_1216,D,A,A,0,0
qa_6229,D,D,D,1,1
qa_1911,C,C,C,1,1
qa_9175,A,A,A,1,1
qa_1640,A,A,A,1,1
medqa_6009,B,C,C,0,0
medqa_32,C,C,C,1,1
qa_1985,C,C,C,1,1
qa_5729,A,A,A,1,1
medqa_283,C,C,C,1,1
qa_5121,D,B,B,0,0
medqa_596,B,B,B,1,1
medqa_7114,A,A,A,1,1
qa_2060,B,B,B,1,1
qa_5809,D,D,D,1,1
qa_5238,B,B,B,1,1
qa_3196,A,A,A,1,1
qa_1419,B,C,C,0,0
qa_4424,C,C,C,1,1
MedXpertQA_533,J,I,I,0,0
qa_9568,A,A,A,1,1
qa_3849,B,B,B,1,1
qa_5278,C,B,B,0,0
qa_2683,B,B,B,1,1
MedXpertQA_175,J,A,A,0,0
qa_807,B,B,B,1,1
qa_2150,A,C,C,0,0
medqa_4316,D,D,D,1,1
qa_1094,B,B,B,1,1
medqa_4937,B,B,B,1,1
qa_2904,A,A,A,1,1
qa_2953,D,D,D,1,1
qa_7582,B,B,B,1,1
qa_2579,A,A,A,1,1
qa_4029,B,D,D,0,0
qa_2266,B,B,B,1,1
medqa_4757,B,B,B,1,1
medqa_4524,C,C,C,1,1
qa_8467,C,C,C,1,1
qa_4511,D,D,D,1,1
medqa_90,A,A,A,1,1
huatuo_7684,E,A,A,0,0
qa_5464,B,B,B,1,1
qa_6319,C,C,C,1,1
medqa_7385,A,A,A,1,1
qa_189,A,A,A,1,1
huatuo_5505,A,A,A,1,1
qa_425,E,E,E,1,1
qa_7930,B,B,B,1,1
qa_8006,B,B,B,1,1
medqa_842,C,D,D,0,0
qa_754,A,A,A,1,1
qa_6208,C,C,C,1,1
medqa_5486,A,A,A,1,1
medqa_253,D,D,D,1,1
qa_1610,B,B,B,1,1
qa_294,B,B,B,1,1
qa_2455,C,C,C,1,1
medqa_6636,A,A,A,1,1
qa_6500,A,A,A,1,1
qa_9529,A,A,A,1,1
medqa_7154,A,C,C,0,0
qa_8926,A,A,A,1,1
qa_6997,A,A,A,1,1
qa_4649,B,B,B,1,1
MedXpertQA_256,D,D,D,1,1
medmcqa_682,D,D,D,1,1
qa_8145,B,B,B,1,1
medqa_5613,C,A,A,0,0
qa_4039,B,B,B,1,1
qa_3688,D,D,A,1,0
medqa_4080,B,B,B,1,1
medqa_5926,B,C,C,0,0
huatuo_5719,A,A,A,1,1
qa_3542,A,A,A,1,1
qa_6327,A,A,A,1,1
qa_9107,D,D,D,1,1
qa_4916,B,B,B,1,1
qa_3086,C,B,B,0,0
qa_8151,B,B,B,1,1
MedXpertQA_987,B,F,F,0,0
qa_10094,A,A,A,1,1
medqa_4587,C,C,C,1,1
medqa_6018,C,C,C,1,1
qa_2617,A,D,D,0,0
MMLU_1015,D,D,D,1,1
medqa_4287,D,C,C,0,0
qa_9155,A,A,A,1,1
qa_3891,C,C,C,1,1
medmcqa_1510,A,B,B,0,0
qa_5704,C,C,C,1,1
qa_1368,C,C,C,1,1
medqa_4205,D,D,D,1,1
qa_8134,C,C,C,1,1
qa_6200,A,A,A,1,1
medqa_917,B,B,B,1,1
medqa_6583,C,C,C,1,1
qa_1196,B,B,B,1,1
medqa_4425,C,C,C,1,1
qa_9167,D,D,D,1,1
qa_7801,B,C,C,0,0
medqa_4705,C,C,C,1,1
qa_8740,E,A,A,0,0
qa_6650,B,A,A,0,0
MedXpertQA_100,F,F,F,1,1
huatuo_7497,A,A,A,1,1
qa_8440,B,B,B,1,1
MedXpertQA_539,I,F,I,0,1
MMLU_1032,D,A,A,0,0
medqa_936,A,A,A,1,1
qa_9207,C,C,C,1,1
medqa_5866,C,C,C,1,1
qa_6440,A,A,A,1,1
medqa_4700,D,D,D,1,1
medqa_7190,A,B,B,0,0
MedXpertQA_307,E,D,D,0,0
qa_2451,A,B,B,0,0
huatuo_1816,C,C,C,1,1
qa_7667,B,B,B,1,1
medqa_375,A,A,A,1,1
qa_3028,A,A,A,1,1
MMLU_1077,D,D,D,1,1
MedXpertQA_922,A,I,I,0,0
qa_3521,B,B,B,1,1
MMLU_835,D,D,D,1,1
medqa_5238,B,B,B,1,1
qa_2367,B,B,B,1,1
qa_8581,D,D,D,1,1
qa_8198,C,C,C,1,1
medqa_5689,D,D,D,1,1
medqa_5874,D,D,D,1,1
qa_1839,D,D,D,1,1
pubmedqa_artificial_7165,A,B,B,0,0
qa_6932,B,B,B,1,1
qa_4002,B,B,B,1,1
MMLU_912,D,D,D,1,1
qa_2027,B,C,C,0,0
medqa_6688,A,A,A,1,1
MMLU_1041,A,A,A,1,1
medqa_4138,C,C,C,1,1
qa_8269,D,D,D,1,1
qa_3197,B,B,B,1,1
qa_9928,A,A,A,1,1
qa_2092,B,A,B,0,1
medqa_5570,A,A,A,1,1
qa_3251,B,B,B,1,1
qa_8559,D,D,D,1,1
medqa_7566,D,D,D,1,1
medqa_5796,A,A,A,1,1
huatuo_9112,C,C,C,1,1
medqa_7276,C,A,A,0,0
medmcqa_782,B,D,D,0,0
medqa_7515,B,B,B,1,1
medqa_524,A,A,A,1,1
qa_3229,D,D,D,1,1
qa_6254,C,C,C,1,1
qa_5153,B,B,B,1,1
medqa_4848,A,A,A,1,1
qa_6804,C,C,C,1,1
qa_1046,C,C,C,1,1
medqa_5198,A,A,A,1,1
medqa_152,A,A,A,1,1
qa_3492,C,C,C,1,1
medqa_5964,A,A,A,1,1
medqa_5279,C,C,C,1,1
qa_1479,A,A,A,1,1
qa_3299,A,A,A,1,1
qa_2760,C,B,B,0,0
qa_8501,C,C,C,1,1
qa_8873,D,D,D,1,1
qa_2797,A,A,A,1,1
qa_1208,B,B,B,1,1
medqa_6905,B,B,B,1,1
qa_2421,A,A,A,1,1
medqa_5466,A,C,C,0,0
qa_5969,C,C,C,1,1
medqa_4773,A,B,B,0,0
medqa_5356,C,C,C,1,1
medqa_5973,C,D,D,0,0
qa_2316,C,C,C,1,1
MMLU_891,D,D,D,1,1
medqa_6557,C,B,B,0,0
qa_3209,B,B,B,1,1
medqa_492,A,A,A,1,1
qa_3665,C,C,C,1,1
qa_1227,A,A,A,1,1
qa_9280,A,A,A,1,1
medqa_4567,D,D,D,1,1
medqa_5535,B,C,C,0,0
qa_6027,A,A,A,1,1
qa_3318,B,B,B,1,1
qa_6318,B,B,B,1,1
medqa_645,C,C,C,1,1
medmcqa_3078,D,D,D,1,1
qa_3649,C,C,C,1,1
qa_8831,A,A,A,1,1
MedXpertQA_269,C,C,C,1,1
qa_3056,C,C,C,1,1
qa_4856,B,B,B,1,1
qa_7901,C,C,C,1,1
qa_2977,B,B,B,1,1
qa_8425,C,C,C,1,1
huatuo_5703,B,A,A,0,0
MedXpertQA_305,J,E,E,0,0
MedXpertQA_555,I,E,E,0,0
MMLU_945,A,A,A,1,1
MedXpertQA_85,J,A,A,0,0
